Scene	Found Episode
s01e16_scene002_0450_0470	s01e16
s01e07_scene002_0602_0622	s01e07
s01e07_scene000_0142_0153	s01e07
s01e12_scene009_0857_0877	s01e12
s01e08_scene003_0946_0966	s01e08
s01e08_scene000_0210_0230	s01e08
s01e09_scene006_0936_0956	s01e09
s01e16_scene003_0535_0544	s01e16
s01e10_scene007_1056_1076	s01e10
s01e08_scene001_0457_0473	s01e08
s01e06_scene003_0775_0795	s01e06
s01e05_scene006_1039_1059	s01e05
s01e17_scene001_0167_0187	s01e17
s01e13_scene004_0553_0573	s01e13
s01e17_scene002_0304_0324	s01e17
s01e13_scene004_0613_0633	s01e13
s01e15_scene004_0548_0568	s01e15
s01e03_scene009_1242_1262	s01e03
s01e05_scene003_0630_0648	s01e05
s01e04_scene007_0615_0631	s01e04
s01e11_scene000_0027_0047	s01e11
s01e10_scene000_0142_0162	s01e10
s01e16_scene001_0193_0213	s01e16
s01e03_scene002_0402_0422	s01e03
s01e10_scene007_0856_0876	s01e10
s01e12_scene003_0382_0402	s01e12
s01e17_scene006_1021_1041	s01e17
s01e03_scene008_1102_1122	s01e03
s01e13_scene000_0022_0042	s01e13
s01e04_scene008_0715_0735	s01e04
s01e07_scene002_0742_0762	s01e07
s01e09_scene002_0451_0471	s01e09
s01e03_scene005_0716_0724	s01e03
s01e07_scene001_0183_0203	s01e07
s01e05_scene002_0429_0449	s01e05
s01e03_scene002_0422_0442	s01e03
s01e15_scene008_1109_1129	s01e15
s01e12_scene009_0817_0837	s01e12
s01e05_scene000_0162_0182	s01e05
s01e14_scene005_0699_0719	s01e14
s01e14_scene007_0970_0990	s01e14
s01e07_scene002_0682_0702	s01e07
s01e17_scene007_1062_1082	s01e17
s01e06_scene000_0129_0145	s01e06
s01e11_scene002_0348_0368	s01e11
s01e07_scene000_0122_0142	s01e07
s01e03_scene008_1022_1042	s01e03
s01e06_scene003_0395_0415	s01e06
s01e07_scene000_0102_0122	s01e07
s01e06_scene003_0615_0635	s01e06
s01e11_scene006_0799_0819	s01e11
s01e03_scene002_0342_0362	s01e03
s01e12_scene000_0026_0046	s01e12
s01e06_scene004_1177_1182	s01e06
